,Model,Dataset,RMSE,Training Time
0,LGBMRegressor,dataset_1,47.010510067031376,0.6943723678588867
1,LGBMRegressor,dataset_2,47.03002967621724,0.6937700748443604
2,LGBMRegressor,dataset_3,46.98460041174822,0.6082619190216064
3,LGBMRegressor,dataset_4,46.99100386720102,0.5662144660949707
4,XGBRegressor,dataset_1,46.56833158289303,0.512044095993042
5,XGBRegressor,dataset_2,46.56833158289303,0.6074023246765137
6,XGBRegressor,dataset_3,46.56833158289303,0.614390516281128
7,XGBRegressor,dataset_4,46.66546281768829,0.7701260089874268
8,StackingRegressor,dataset_1,46.28465319492201,6.984199094772339
9,StackingRegressor,dataset_2,46.297879233974115,7.201539087295532
10,StackingRegressor,dataset_3,46.27246964024506,8.090727233886719
11,StackingRegressor,dataset_4,46.326187438908875,10.301959800720216
