Model,Dataset,Transformation,RMSE,Training Time
StackingRegressor6,dataset_1,standard_scale_dataframe,19.56429780997602,65.20292649269103
StackingRegressor6,dataset_1,minmax_transform_dataframe,19.564987444086228,63.61177005767822
BaggingRegressor3,dataset_1,minmax_transform_dataframe,19.587174638798576,7.6079676151275635
BaggingRegressor3,dataset_1,standard_scale_dataframe,19.587174638798576,7.890617609024048
StackingRegressor5,dataset_1,standard_scale_dataframe,19.74388580522962,7.099598121643067
StackingRegressor5,dataset_1,minmax_transform_dataframe,19.744392802170694,7.728864049911499
XGBRegressor1,dataset_1,minmax_transform_dataframe,19.812993154935914,0.9612595081329346
XGBRegressor1,dataset_1,standard_scale_dataframe,19.812993154935914,0.846229362487793
LGBMRegressor2,dataset_1,standard_scale_dataframe,20.33139753434471,0.7421136856079101
LGBMRegressor2,dataset_1,minmax_transform_dataframe,20.339575413000695,0.7832987308502197
BaggingRegressor4,dataset_1,standard_scale_dataframe,20.35958009170296,4.822554445266723
BaggingRegressor4,dataset_1,minmax_transform_dataframe,20.360238314134094,5.013367080688477
StackingRegressor6,dataset_2,minmax_transform_dataframe,20.410718698559197,53.84721035957337
StackingRegressor6,dataset_2,standard_scale_dataframe,20.412465152217614,58.61678171157837
BaggingRegressor3,dataset_2,minmax_transform_dataframe,20.441603238450107,5.863215160369873
BaggingRegressor3,dataset_2,standard_scale_dataframe,20.441603238450107,5.99025592803955
StackingRegressor5,dataset_2,standard_scale_dataframe,20.611467066111196,6.026794385910034
StackingRegressor5,dataset_2,minmax_transform_dataframe,20.618751078538416,5.693953323364258
XGBRegressor1,dataset_2,standard_scale_dataframe,20.692349926178586,0.5998139381408691
XGBRegressor1,dataset_2,minmax_transform_dataframe,20.692349926178586,0.6632499694824219
LGBMRegressor2,dataset_2,standard_scale_dataframe,21.170385601351278,0.7274604320526123
LGBMRegressor2,dataset_2,minmax_transform_dataframe,21.218635067578447,0.6630736351013183
BaggingRegressor4,dataset_2,standard_scale_dataframe,21.248748243142618,4.545209169387817
BaggingRegressor4,dataset_2,minmax_transform_dataframe,21.26049020781761,4.490981912612915
